"Name","Phone","Rating","Address","Street.Address","City","Categories","Price","Review.Count","Transactions","source","Authenticity","chain","Restaurant"
"Chun Yang Tea",13477329680,4.5,"133-41 41st Ave, Flushing, NY 11355","133-41 41st Ave","Flushing","Bubble Tea, Taiwanese","$",222,"pickup, delivery","nyc_boba",1,0,0
"Xing Fu Tang",13473686886,4,"40-52 Main St, Flushing, NY 11345","40-52 Main St","Flushing","Bubble Tea, Desserts, Taiwanese","$",504,"pickup, delivery","nyc_boba",1,0,0
"The Alley",NA,4,"38-02 Prince St, Flushing, NY 11354","38-02 Prince St","Flushing","Bubble Tea, Coffee & Tea","$$",551,"pickup, delivery","nyc_boba",0,0,0
"Partea NYC - Flushing",17183589188,4.5,"135-29 Roosevelt Ave, Flushing, NY 11354","135-29 Roosevelt Ave","Flushing","Arcades, Bubble Tea, Chicken Wings","$",215,"pickup, delivery","nyc_boba",0,1,0
"Song Tea",17188868254,4,"38-21 Main St, Flushing, NY 11354","38-21 Main St","Flushing","Bubble Tea","$$",88,"pickup, delivery","nyc_boba",0,0,0
"Tiger Sugar",13477324001,4,"136-20 Roosevelt Ave, Ste 12, New World Mall, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea, Desserts, Coffee & Tea","$$",765,"pickup, delivery","nyc_boba",0,0,0
"Möge Tee - Flushing",17183211188,4,"38-03 Main Street, Flushing, NY 11354","38-03 Main Street","Flushing","Bubble Tea, Tea Rooms","$$",212,"","nyc_boba",0,1,0
"Yi Fang Taiwan Fruit Tea",19293007485,3.5,"135-37 40th Rd, Flushing, NY 11354","135-37 40th Rd","Flushing","Bubble Tea","$$",338,"pickup, delivery","nyc_boba",1,0,0
"Zaza Tea",NA,4.5,"136-84 Roosevelt Ave, Queens, NY 11354","136-84 Roosevelt Ave","Queens","Bubble Tea","",2,"","nyc_boba",0,0,0
"The Yunique Tea",19288138888,4,"42-01 162nd St, Flushing, NY 11358","42-01 162nd St","Flushing","Bubble Tea","",37,"pickup, delivery","nyc_boba",0,0,0
"Teazzi Tea Shop",19292902888,4,"135-17 38th Ave, Flushing, NY 11354","135-17 38th Ave","Flushing","Bubble Tea","$$",88,"pickup, delivery","nyc_boba",0,0,0
"Sweet Cake",19293290666,4.5,"137-06 Northern Blvd, Flushing, NY 11354","137-06 Northern Blvd","Flushing","Desserts, Bubble Tea","$$",72,"pickup, delivery","nyc_boba",0,0,0
"CoCo Fresh Tea & Juice",17183218566,3.5,"39-22 Main St, Flushing, NY 11354","39-22 Main St","Flushing","Coffee & Tea, Juice Bars & Smoothies, Bubble Tea","$",243,"pickup, delivery","nyc_boba",1,0,0
"Coffee Story",19296552224,4.5,"152-22 Northern Blvd, Flushing, NY 11354","152-22 Northern Blvd","Flushing","Coffee & Tea, Bubble Tea, Sandwiches","$$",38,"pickup, delivery","nyc_boba",0,0,0
"Yomie's Rice x Yogurt",19175635676,4,"135-28 Roosevelt Ave, Unit B, Flushing, NY 11354","135-28 Roosevelt Ave","Flushing","Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt","$$",82,"pickup, delivery","nyc_boba",1,0,0
"Machi Machi",13477034976,3.5,"133-36 39th Ave, Flushing, NY 11354","133-36 39th Ave","Flushing","Bubble Tea","",26,"","nyc_boba",0,0,0
"Möge Tee",13473684129,5,"157-08 Northern Blvd, New York, NY 11354","157-08 Northern Blvd","New York","Bubble Tea","",2,"","nyc_boba",1,0,0
"TSAôCAA",17183535937,3,"38-04 Prince St, Flushing, NY 11354","38-04 Prince St","Flushing","Bubble Tea","",69,"pickup, delivery","nyc_boba",1,0,0
"M Tea",17188862566,3.5,"36-56 Main St, Flushing, NY 11354","36-56 Main St","Flushing","Bubble Tea, Desserts, Juice Bars & Smoothies","$",130,"pickup, delivery","nyc_boba",0,0,0
"Bing Ling Tea",17185003788,4.5,"61-18 190th St, Fresh Meadows, NY 11365","61-18 190th St","Fresh Meadows","Bubble Tea","",43,"pickup, delivery","nyc_boba",1,0,0
"Gong Cha",17187622874,3.5,"40-06 Union St, Flushing, NY 11354","40-06 Union St","Flushing","Bubble Tea","$",87,"pickup, delivery","nyc_boba",1,0,0
"Kung Fu Tea",17183958297,3.5,"136-20 38th Ave, Flushing, NY 11354","136-20 38th Ave","Flushing","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",289,"pickup, delivery","nyc_boba",0,0,0
"Sweet Cats Cafe",19292183130,3.5,"35-21 Farrington St, Flushing, NY 11354","35-21 Farrington St","Flushing","Arcades, Desserts, Bubble Tea","$$",95,"delivery","nyc_boba",1,0,1
"Yaya Tea - Flushing",13475698252,4,"135-15 40th Rd, Flushing, NY 11354","135-15 40th Rd","Flushing","Bubble Tea, Coffee & Tea, Japanese","",12,"pickup, delivery","nyc_boba",0,1,0
"Happy Lemon",13473684023,4,"133-35 Roosevelt Ave, Ste 11, Flushing, NY 11354","133-35 Roosevelt Ave","Flushing","Taiwanese, Bubble Tea, Juice Bars & Smoothies","$",147,"pickup, delivery","nyc_boba",0,0,0
"YanYan Tea",19175403588,4,"135-03A Roosevelt Ave, Flushing, NY 11354","135-03A Roosevelt Ave","Flushing","Bubble Tea","",53,"pickup, delivery","nyc_boba",1,0,0
"I’Milky 沐白 - Flushing",17185685884,3,"37-12 Prince St, Flushing, NY 11354","37-12 Prince St","Flushing","Bubble Tea, Juice Bars & Smoothies, Taiwanese","",21,"","nyc_boba",1,1,0
"Möge Tee",16467586266,2.5,"42-35 Main st, Unit D, Flushing, NY 11354","42-35 Main st","Flushing","Bubble Tea","",17,"pickup, delivery","nyc_boba",1,1,0
"Meet Fresh ",19294688682,4,"133-36 37th Ave, Unit F11, Flushing, NY 11354","133-36 37th Ave","Flushing","Bubble Tea, Desserts","$$",177,"","nyc_boba",1,0,0
"The Whale Tea",NA,3.5,"25-25 Parsons Blvd, Queens, NY 11354","25-25 Parsons Blvd","Queens","Bubble Tea","",18,"pickup, delivery","nyc_boba",1,0,0
"Gong Cha",17183537327,3.5,"136-20 Roosevelt Ave, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea","$$",144,"","nyc_boba",1,1,0
"Tiger Hill",NA,3.5,"136-49 Roosevelt Ave, Ste 1, Flushing, NY 11354","136-49 Roosevelt Ave","Flushing","Bubble Tea","",15,"pickup, delivery","nyc_boba",1,0,0
"Gong Cha",19293290100,5,"159-17 Northern Blvd, Flushing, NY 11358","159-17 Northern Blvd","Flushing","Bubble Tea","",16,"pickup, delivery","nyc_boba",1,1,0
"Momo Ashi",NA,3.5,"147-05 45th Ave, Flushing, NY 11355","147-05 45th Ave","Flushing","Bubble Tea, Coffee & Tea, Waffles","",18,"pickup, delivery","nyc_boba",0,0,0
"Möge Tee",17185696666,3.5,"61-12 182nd Street, Flushing, NY 11365","61-12 182nd Street","Flushing","Bubble Tea","",83,"pickup, delivery","nyc_boba",1,1,0
"Snack Mood",17187990150,4,"198-08 33rd Ave, Flushing, NY 11358","198-08 33rd Ave","Flushing","Bubble Tea, Cafes, Desserts","",39,"pickup, delivery","nyc_boba",0,0,0
"Coconut&More",19298956755,4.5,"90-15 Queens Blvd, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Juice Bars & Smoothies, Bubble Tea","",3,"","nyc_boba",0,0,0
"Cafe Toast",13477324301,4,"4106 163rd St, Flushing, NY 11358","4106 163rd St","Flushing","Coffee & Tea, Bakeries, Bubble Tea","$",34,"","nyc_boba",0,0,0
"Vivi Bubble Tea",17188867600,3.5,"41-42 Main St, Flushing, NY 11355","41-42 Main St","Flushing","Taiwanese, Bubble Tea, Juice Bars & Smoothies","$",23,"delivery, pickup","nyc_boba",1,0,0
"CoCo Fresh Tea & Juice",17186610724,3,"36-1 162nd St, Queens, NY 11358","36-1 162nd St","Queens","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","",6,"delivery, pickup","nyc_boba",1,1,0
"39 Kings Cafe",17189393330,4,"39-07 Prince St, Flushing, NY 11354","39-07 Prince St","Flushing","Dim Sum, Bubble Tea, Hong Kong Style Cafe","$$",148,"delivery, pickup","nyc_boba",1,0,1
"Anda Cafe",NA,3.5,"6002 Main St, Flushing, NY 11355","6002 Main St","Flushing","Bubble Tea, Sushi Bars, Cafes","$",31,"delivery","nyc_boba",0,0,1
"The Whale Tea",19172596564,3,"60-05 Kissena Blvd, Flushing, NY 11355","60-05 Kissena Blvd","Flushing","Bubble Tea","",5,"delivery","nyc_boba",1,1,0
"Coco Fresh Tea & Juice",17183532709,3.5,"182-4 Horace Harding Expy, Flushing, NY 11365","182-4 Horace Harding Expy","Flushing","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","$",101,"delivery, pickup","nyc_boba",1,0,0
"Sweet Cats Cafe",19292183130,4,"168-17 Union Tpke, Fresh Meadows, NY 11366","168-17 Union Tpke","Fresh Meadows","Desserts, Bubble Tea, Custom Cakes","$",233,"delivery, pickup","nyc_boba",1,1,1
"Nuan Xin Rice Roll 暖心飯糰",19299991050,4.5,"136 - 55 Roosevelt Ave, Flushing, NY 11354","136 - 55 Roosevelt Ave","Flushing","Bubble Tea, Taiwanese","",3,"","nyc_boba",1,0,0
"Tiger Sugar",NA,3.5,"90-15 Queens Blvd, Ste 105, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Bubble Tea, Coffee & Tea, Desserts","",10,"","nyc_boba",0,1,0
"TBaar",17183593300,4,"136-20 Roosevelt Ave, Flushing, NY 11355","136-20 Roosevelt Ave","Flushing","Bubble Tea, Juice Bars & Smoothies, Tea Rooms","$",78,"delivery, pickup","nyc_boba",0,0,0
"MÖGE TEE Forest Hills",13476441702,4,"70-15A Austin Street, Forest Hills, NY 11375","70-15A Austin Street","Forest Hills","Bubble Tea","$$",57,"delivery, pickup","nyc_boba",1,0,0
"Gong Cha",17183533115,3.5,"40-24 College Point Blvd, Unit B-1, Flushing, NY 11354","40-24 College Point Blvd","Flushing","Bubble Tea","$",34,"delivery, pickup","nyc_boba",1,1,0
"Flower Bloom Tea",NA,3.5,"133-63 41st Rd, Queens, NY 11355","133-63 41st Rd","Queens","Bubble Tea","",2,"","nyc_boba",1,0,0
"Gong Cha",17182717372,3.5,"61-35 Junction Blvd, Rego Park, NY 11374","61-35 Junction Blvd","Rego Park","Bubble Tea","$",77,"delivery, pickup","nyc_boba",1,1,0
"Gong Cha",19292822531,4,"90-15 Queens Blvd, Elmhurst, NY 11373","90-15 Queens Blvd","Elmhurst","Bubble Tea","$",48,"delivery","nyc_boba",1,1,0
"Coco Fresh Tea & Juice",17188983672,3.5,"86-55 Broadway, Elmhurst, NY 11373","86-55 Broadway","Elmhurst","Bubble Tea","$",70,"delivery, pickup","nyc_boba",1,1,0
"C Fruit Life",17183589188,2.5,"13529 Roosevelt Ave, Flushing, NY 11354","13529 Roosevelt Ave","Flushing","Desserts, Juice Bars & Smoothies, Bubble Tea","$$",122,"","nyc_boba",1,0,0
"Kissena Cafe",17188860689,3.5,"6004 Kissena Blvd, Flushing, NY 11355","6004 Kissena Blvd","Flushing","Cafes, Bubble Tea","$",39,"delivery, pickup","nyc_boba",1,0,0
"Meadows Cafe",19294993559,4.5,"195-09 69th Ave, Fresh Meadows, NY 11365","195-09 69th Ave","Fresh Meadows","Cafes, Bubble Tea, Ice Cream & Frozen Yogurt","",20,"","nyc_boba",0,0,0
"Kung Fu Tea",17182633631,3.5,"70-10 Austin St, Ste 3, Forest Hills, NY 11375","70-10 Austin St","Forest Hills","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",163,"delivery, pickup","nyc_boba",0,1,0
"Kung Fu Tea",17183212886,3,"136-20 Roosevelt Ave, Ste 7, Flushing, NY 11354","136-20 Roosevelt Ave","Flushing","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies","$",52,"delivery, pickup","nyc_boba",0,1,0
"U-Crew Thai Creamery & Tea",19176986662,3.5,"103-22 Roosevelt Ave, Corona, NY 11368","103-22 Roosevelt Ave","Corona","Bubble Tea, Creperies, Desserts","",13,"delivery, pickup","nyc_boba",0,1,0
"Crepe N Tearia",17183800887,3.5,"177-07 Union Tpke, Fresh Meadows, NY 11366","177-07 Union Tpke","Fresh Meadows","Creperies, Tea Rooms, Bubble Tea","$",182,"delivery, pickup","nyc_boba",0,0,1
"TBaar",NA,4,"37-11 Main St, Flushing, NY 11354","37-11 Main St","Flushing","Bubble Tea, Juice Bars & Smoothies, Coffee & Tea","",6,"","nyc_boba",0,1,0
"Black Sheep Coffee House",17184069344,5,"101-20 Astoria Blvd, Queens, NY 11369","101-20 Astoria Blvd","Queens","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","",1,"","nyc_boba",0,0,0
"Kung Fu Tea",19294620010,3.5,"86-12 Justice Ave, Elmhurst, NY 11373","86-12 Justice Ave","Elmhurst","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies","$",146,"delivery, pickup","nyc_boba",0,1,0
"Little Starry Cafe",13479252092,5,"4836 90th St, New York, NY 11373","4836 90th St","New York","Bubble Tea, Custom Cakes","",2,"delivery, pickup","nyc_boba",0,0,0
"Teaporation",NA,4,"37-64 90th St, Queens, NY 11372","37-64 90th St","Queens","Bubble Tea","",4,"delivery, pickup","nyc_boba",1,0,0
"TBaar",NA,5,"96-3 37th Ave, Corona, NY 11368","96-3 37th Ave","Corona","Bubble Tea, Juice Bars & Smoothies","",2,"","nyc_boba",0,1,0
"Gong Cha",NA,4.5,"88-01 Queens Blvd, Queens, NY 11375","88-01 Queens Blvd","Queens","Bubble Tea","",3,"","nyc_boba",1,1,0
"Tbaar",NA,3.5,"135-52 Roosevelt Ave, Flushing, NY 11354","135-52 Roosevelt Ave","Flushing","Bubble Tea","",2,"delivery, pickup","nyc_boba",0,0,0
"One Nice Tea",17187990028,2.5,"37-12 Main St, Flushing, NY 11354","37-12 Main St","Flushing","Bubble Tea","",3,"","nyc_boba",1,0,0
"Max Bakery",13478327745,4.5,"37-63 90th St, Jackson Heights, NY 11372","37-63 90th St","Jackson Heights","Coffee & Tea, Bakeries, Bubble Tea","$",20,"","nyc_boba",1,0,1
"OMTea Boba & Bites",1.92e+10,4.5,"3901 Capital Blvd",NA,"Raleigh","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",NA,56,"delivery, pickup","raleigh_boba",0,0,0
"Moge Tee - Raleigh",1.98e+10,4.5,"2304 Hillsborough St",NA,"Raleigh","Bubble Tea",NA,90,"delivery, pickup","raleigh_boba",1,1,0
"Cha House - Raleigh",1.92e+10,4.5,"3001 Hillsborough St",NA,"Raleigh","Bubble Tea, Taiwanese, Coffee & Tea",NA,85,"delivery, pickup","raleigh_boba",1,1,0
"Champloo Desserts",1.92e+10,4.5,"8320 Litchford Rd",NA,"Raleigh","Desserts, Bubble Tea, Ice Cream & Frozen Yogurt",NA,48,"pickup","raleigh_boba",1,0,0
"MILKLAB - Smoky Hollow",1.92e+10,4.5,"526 N West St",NA,"Raleigh","Bubble Tea, Ice Cream & Frozen Yogurt",NA,14,"","raleigh_boba",1,1,0
"Boba Baba",1.98e+10,4.5,"12102 Bradford Green Sq",NA,"Cary","Tea Rooms, Bubble Tea, Desserts",NA,259,"delivery","raleigh_boba",1,0,0
"Yaya Tea - Chapel Hill",1.92e+10,4,"157 E Franklin St",NA,"Chapel Hill","Bubble Tea, Coffee & Tea, Japanese",NA,90,"delivery, pickup","raleigh_boba",0,1,0
"SweeTea Boba & Ice",1.92e+10,5,"3651 SW Cary Pkwy",NA,"Cary","Bubble Tea, Desserts, Shaved Ice",NA,25,"","raleigh_boba",1,0,0
"Feng Cha",NA,4.5,"3037 Village Market Pl",NA,"Morrisville","Bubble Tea",NA,67,"delivery, pickup","raleigh_boba",1,0,0
"Budacai",1.92e+10,4,"120 E Martin St",NA,"Raleigh","Asian Fusion, Bubble Tea, Coffee & Tea",NA,200,"delivery, pickup","raleigh_boba",0,0,0
"Black Ivory Caf√©",1.92e+10,5,"3080 Wake Forest Rd",NA,"Raleigh","Coffee & Tea, Bubble Tea, Breakfast & Brunch",NA,38,"","raleigh_boba",0,0,0
"Bapu Teahouse",NA,3,"4321 Glenwood Ave",NA,"Raleigh","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",NA,10,"","raleigh_boba",1,0,0
"Moomoocha",1.98e+10,4,"1350 5th Ave",NA,"Garner","Bubble Tea, Cafes",NA,27,"delivery","raleigh_boba",0,0,0
"Milk Lab - Cary",1.98e+10,4.5,"6418 Tryon Rd",NA,"Cary","Ice Cream & Frozen Yogurt, Bubble Tea, Coffee & Tea",NA,519,"delivery","raleigh_boba",1,1,0
"Brecotea",1.92e+10,4,"1144 Kildaire Farm Rd",NA,"Cary","Bubble Tea, Coffee & Tea, Bakeries",NA,226,"delivery, pickup","raleigh_boba",0,0,0
"Pho Oxtail",1.98e+10,4.5,"3901 Capital Blvd",NA,"Raleigh","Vietnamese, Bubble Tea",NA,122,"delivery, pickup","raleigh_boba",0,0,1
"BAMBU",1.98e+10,4,"90 Cornerstone Dr",NA,"Cary","Bubble Tea, Juice Bars & Smoothies, Vietnamese",NA,40,"","raleigh_boba",1,0,0
"Quickly Tea House",1.98e+10,4,"2604A Hillsborough Rd",NA,"Durham","Bubble Tea, Taiwanese, Ramen",NA,91,"delivery, pickup","raleigh_boba",0,0,0
"Mochinut",NA,4,"9958 Chapel Hill Rd",NA,"Cary","Donuts, Desserts, Bubble Tea",NA,41,"delivery, pickup","raleigh_boba",0,0,0
"Cha House - Cary",1.98e+10,4.5,"1319 Kildaire Farm Rd",NA,"Cary","Taiwanese, Bubble Tea, Coffee & Tea",NA,130,"delivery, pickup","raleigh_boba",1,1,0
"Sweet Room",1.92e+10,4,"2763 NC-55",NA,"Cary","Desserts, Bubble Tea, Shaved Ice",NA,34,"delivery, pickup","raleigh_boba",1,0,0
"SipCha",1.98e+10,5,"407 Emissary Dr",NA,"Cary","Bubble Tea, Tea Rooms, Cafes",NA,24,"delivery, pickup","raleigh_boba",1,0,0
"Boba Brew",1.92e+10,2.5,"411 W Morgan St",NA,"Raleigh","Bubble Tea, Juice Bars & Smoothies",NA,38,"delivery, pickup","raleigh_boba",0,0,0
"Kung Fu Tea - Raleigh",NA,4,"10251 Little Brier Creek Ln",NA,"Raleigh","Coffee & Tea, Juice Bars & Smoothies, Bubble Tea",NA,20,"delivery, pickup","raleigh_boba",1,1,0
"Boba Beans Bistro",1.92e+10,4.5,"50 Neuse River Pkwy",NA,"Clayton","Bubble Tea",NA,13,"delivery, pickup","raleigh_boba",0,0,0
"SipCha",1.92e+10,4.5,"1011 Beaver Creek Commons Dr",NA,"Apex","Bubble Tea, Ice Cream & Frozen Yogurt",NA,129,"delivery, pickup","raleigh_boba",1,1,0
"Bep Vietnamese Kitchen",1.92e+10,4.5,"300 S Main St",NA,"Holly Springs","Vietnamese, Bubble Tea, Desserts",NA,84,"delivery, pickup","raleigh_boba",0,0,1
"Boba T +",1.92e+10,5,"1401 SE Maynard Rd",NA,"Cary","Bubble Tea",NA,12,"delivery, pickup","raleigh_boba",0,0,0
"Yaya Tea Durham",1.92e+10,4,"807 E Main St",NA,"Durham","Bubble Tea",NA,33,"delivery, pickup","raleigh_boba",0,0,0
"Kung Fu Tea - Cary",1.92e+10,4,"966 High House Rd",NA,"Cary","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",NA,252,"delivery","raleigh_boba",0,1,0
"Bapu Fresh",NA,3.5,"9589 Chapel Hill Rd",NA,"Morrisville","Bubble Tea",NA,29,"delivery, pickup","raleigh_boba",1,0,0
"Milk Lab - Durham",1.92e+10,4.5,"105 W Nc Hwy 54",NA,"Durham","Coffee & Tea, Ice Cream & Frozen Yogurt, Bubble Tea",NA,147,"pickup, delivery","raleigh_boba",1,1,0
"Moge Tee - Durham",1.98e+10,4,"760 Ninth Street",NA,"Durham","Bubble Tea",NA,93,"pickup, delivery","raleigh_boba",1,1,0
"Quickly-Morrisville",1.98e+10,4,"4141 Davis Dr",NA,"Morrisville","Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",NA,138,"pickup, delivery","raleigh_boba",0,1,1
"More Tea",1.92e+10,4.5,"806 Perry Rd",NA,"Apex","Desserts, Bubble Tea",NA,13,"pickup, delivery","raleigh_boba",0,0,0
"Frozy",1.92e+10,4,"5324 New Hope Commons Dr",NA,"Durham","Juice Bars & Smoothies, Bubble Tea, Ice Cream & Frozen Yogurt",NA,86,"delivery","raleigh_boba",0,0,0
"Bapu Tea House",NA,4.5,"1125 W NC-54",NA,"Durham","Bubble Tea, Coffee & Tea, Juice Bars & Smoothies",NA,4,"pickup, delivery","raleigh_boba",1,0,0
"Moge Tee",1.98e+10,4,"151 E Franklin Street",NA,"Chapel Hill","Bubble Tea",NA,40,"pickup, delivery","raleigh_boba",1,0,0
"Sharetea - Morrisville",1.92e+10,4,"1101 Grace Park Dr",NA,"Morrisville","Bubble Tea",NA,4,"","raleigh_boba",1,1,0
"The Sweet Tea Cafe",1.92e+10,5,"4826 Mt Moriah Rd",NA,"Durham","Bubble Tea, Coffee & Tea",NA,2,"","raleigh_boba",0,0,0
"Quickly - Chapel Hill",1.98e+10,4,"503 Meadowmont Village Cir",NA,"Chapel Hill","Bubble Tea, Juice Bars & Smoothies, Coffee & Tea",NA,68,"delivery","raleigh_boba",0,1,0
"Meet Fresh",9.85e+09,4.5,"407 Meadowmont Village Cir",NA,"Chapel Hill","Desserts",NA,157,"takeout, delivery","raleigh_boba",1,0,0
"MILKLAB - Southpoint",1.98e+10,4.5,"6910 Fayetteville Rd",NA,"Durham","Bubble Tea, Coffee & Tea, Ice Cream & Frozen Yogurt",NA,6,"","raleigh_boba",1,1,0
"Oriental Pho",1.92e+10,3,"5959 Triangle Town Blvd",NA,"Raleigh","Bubble Tea, Vietnamese, Asian Fusion",NA,1,"pickup, delivery","raleigh_boba",0,0,1
"Li Ming Bubble Tea",1.92e+10,3,"3400 Westgate Dr",NA,"Durham","Bubble Tea, Juice Bars & Smoothies",NA,5,"","raleigh_boba",0,0,0
"Grand Asia Market",9.19e+09,3.9,"1253 Buck Jones Rd, Raleigh, NC 27606",NA,"Raleigh","Bakeries, Chinese, International Grocery",NA,306,"takeout, delivery","raleigh_boba",1,0,1
"Tea Hill",9849994580,4.4,"318 W Franklin St ",NA,"Chapel Hill","Bubble Tea, Coffee & Tea",NA,14,"","raleigh_boba",1,0,0
"Bumble Tea",9198968114,4.2,"3221 Avent Ferry Rd",NA,"Raleigh","Coffee & Tea, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",NA,182,"takeout, delivery","raleigh_boba",1,0,0
"Li Ming Bubble Tea",1.92e+10,3,"3400 Westgate Dr",NA,"Durham","Bubble Tea, Juice Bars & Smoothies",NA,5,"","raleigh_boba",0,0,0
"Grand Asia Market",9.19e+09,3.9,"1253 Buck Jones Rd, Raleigh, NC 27606",NA,"Raleigh","Bakeries, Chinese, International Grocery",NA,306,"takeout, delivery","raleigh_boba",1,0,1
"Tea Hill",9849994580,4.4,"318 W Franklin St ",NA,"Chapel Hill","Bubble Tea, Coffee & Tea",NA,14,"","raleigh_boba",1,0,0
"Bumble Tea",9198968114,4.2,"3221 Avent Ferry Rd",NA,"Raleigh","Coffee & Tea, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",NA,182,"takeout, delivery","raleigh_boba",1,0,0
"TRUE",1,1,"TRUE","TRUE","TRUE","TRUE","TRUE",1,"TRUE","TRUE",1,1,1
